Neighborhood,Description,Price,Total Area,Covered Area,Total Rooms,Bathrooms
Puerto Madero,"Departamento en venta en Avenida Ingeniero Huergo 500, Puerto Madero, Capital Federal",145000.0,35.0,31.0,1.0,1.0
Puerto Madero,"Departamento monoambiente en venta en Ingeniero Huergo 500, Puerto Madero, Capital Federal",213000.0,58.0,47.0,1.0,1.0
Puerto Madero,"Departamento en venta en Azucena Villaflor 500, Puerto Madero, Capital Federal",1100000.0,124.1,112.51,3.0,2.0
Puerto Madero,"Departamento en venta en Azucena Villaflor 500, Puerto Madero, Capital Federal",1350000.0,149.35,142.85,3.0,2.0
Puerto Madero,"Departamento semipiso en venta en Juana Manso 1900, Puerto Madero, Capital Federal",1278245.0,230.2,225.2,4.0,3.0
Puerto Madero,"Departamento semipiso en venta en Juana Manso 1900, Puerto Madero, Capital Federal",710000.0,156.44,135.44,3.0,2.0
Puerto Madero,"Departamento en venta en Juana Manso 1900, Puerto Madero, Capital Federal",671849.0,121.4,113.2,3.0,2.0
Puerto Madero,"Departamento en venta en Azucena Villaflor 400, Puerto Madero, Capital Federal",1090000.0,192.0,180.0,4.0,4.0
Puerto Madero,"Oficina en venta en Alicia Moreau De Justo 2000, Puerto Madero, Capital Federal",269900.0,110.0,110.0,4.0,1.0
Puerto Madero,"Departamento en venta en Juana Manso 1500, Puerto Madero, Capital Federal",485000.0,108.82,99.02,4.0,2.0
Puerto Madero,"Departamento piso en venta en Rosario Vera Peñaloza 300, Puerto Madero, Capital Federal",1250000.0,180.0,150.0,4.0,4.0
Puerto Madero,"Departamento en venta en Juana Manso 1100, Puerto Madero, Capital Federal",670000.0,134.0,124.0,4.0,2.0
Puerto Madero,"Departamento en venta en Marta Lynch 500, Puerto Madero, Capital Federal",1300000.0,194.19,192.36,4.0,3.0
Puerto Madero,"Departamento en venta en Lola Mora 400, Puerto Madero, Capital Federal",375000.0,65.0,60.0,2.0,1.0
